partition,ppn,nproc,estimated_nodes,last_node_ranks,message_size_bytes,optimal_algorithm,optimal_predicted_time_sec,predicted_time_sec__binomial,predicted_time_sec__circ_graph,predicted_time_sec__nb,predicted_time_sec__pipelined_tree,predicted_time_sec__release_gather,predicted_time_sec__scatter_recursive_doubling_allgather,predicted_time_sec__scatter_ring_allgather,predicted_time_sec__tree
single_node,8,8,1,8,6291456,circ_graph,0.001771436762141388,0.0019008822336397998,0.001771436762141388,0.0019021198275734354,0.007912976995494748,0.0018963534627381721,0.001902471808249388,0.001887844214736151,0.0020368406713780524
single_node,8,8,1,8,8388608,circ_graph,0.0022667432383393247,0.0023370285522513958,0.0022667432383393247,0.0023385501048798617,0.010878788757358959,0.0023304590429467724,0.0023347787474446956,0.002320999036112312,0.0024786320239479423
single_node,8,8,1,8,12582912,circ_graph,0.003552965300994828,0.0035714866247667544,0.003552965300994828,0.0035714866247667544,0.01844086131607601,0.0035643441397041073,0.0035714866247667544,0.0035611933938557694,0.0036705001626889376
single_node,8,8,1,8,16777216,scatter_ring_allgather,0.004738062655893504,0.004770659952944738,0.004749283635007063,0.004781813846284293,0.022169025298098458,0.0047738349874651784,0.004767624996813446,0.004738062655893504,0.004881847294545563
single_node,8,8,1,8,25165824,circ_graph,0.0067590676737779645,0.007133236855646844,0.0067590676737779645,0.007185872989820857,0.025984915937111074,0.007201139975603497,0.00712389111311145,0.007059013020998116,0.007299483567474317
single_node,8,8,1,8,33554432,circ_graph,0.009016325064731353,0.009665922894357729,0.009016325064731353,0.009706862271982296,0.026360204165186685,0.009717944982935598,0.009622257729563344,0.009577115626318019,0.00979843707435147
single_node,16,4,1,4,2,release_gather,7.790760891513786e-07,5.186035052986191e-06,1.996605271150618e-06,6.420985334249108e-06,5.1495248101451175e-06,7.790760891513786e-07,1.0432734724583454e-05,1.7385946147854783e-05,5.1542786105300665e-06
single_node,16,4,1,4,3,release_gather,7.790760891513786e-07,5.186035052986191e-06,1.996605271150618e-06,6.420985334249108e-06,5.1495248101451175e-06,7.790760891513786e-07,1.0432734724583454e-05,1.7385946147854783e-05,5.1542786105300665e-06
single_node,16,4,1,4,4,release_gather,7.788135104072983e-07,5.186035052986191e-06,1.996605271150618e-06,6.420985334249108e-06,5.149449382236398e-06,7.788135104072983e-07,1.065870302586062e-05,1.7385946147854783e-05,5.154203112989831e-06
single_node,16,4,1,4,6,release_gather,7.802774098760449e-07,5.165278146350834e-06,2.0001756235471355e-06,6.4140603993622e-06,5.141713435193794e-06,7.802774098760449e-07,1.1179533483232319e-05,1.747761771036271e-05,5.132183425196772e-06
single_node,16,4,1,4,8,release_gather,7.814866144023083e-07,5.0680486146271745e-06,2.000921573550313e-06,6.413711987043092e-06,5.147238680330797e-06,7.814866144023083e-07,1.1740628127493204e-05,1.7670515103894145e-05,5.124820751011695e-06
single_node,16,4,1,4,12,release_gather,7.828411719720221e-07,4.9816922053368325e-06,2.0143848286828226e-06,6.4176517356821075e-06,5.1909133049751e-06,7.828411719720221e-07,1.1991074517153247e-05,1.83008505024131e-05,5.154464021320498e-06
single_node,16,4,1,4,16,release_gather,7.833075540737136e-07,4.970757260431703e-06,2.0214213190231034e-06,6.422568829250849e-06,5.334292104581349e-06,7.833075540737136e-07,1.2235231439053098e-05,1.841386900500928e-05,5.259351585856987e-06
single_node,16,4,1,4,24,release_gather,7.850072384675902e-07,4.93591683329331e-06,2.0358859696235845e-06,6.42712128708228e-06,5.365641224128445e-06,7.850072384675902e-07,1.2393803658739662e-05,1.874544875701141e-05,5.287205576840891e-06
single_node,16,4,1,4,32,release_gather,7.883805997427786e-07,4.92616188524132e-06,2.0703797475994635e-06,6.4375193767155774e-06,5.368902127650819e-06,7.883805997427786e-07,1.248232365991297e-05,1.889988540827544e-05,5.292411293224149e-06
single_node,16,4,1,4,48,release_gather,7.895605939673637e-07,4.9239481704103566e-06,2.2388909476992894e-06,6.481051013273977e-06,5.406410794646219e-06,7.895605939673637e-07,1.2583369104728584e-05,1.917014576385151e-05,5.351091558291003e-06
single_node,16,4,1,4,64,release_gather,7.938654519123017e-07,4.933123079411605e-06,2.335212447681281e-06,6.538969708318696e-06,5.440373034182615e-06,7.938654519123017e-07,1.2651223593859542e-05,1.9313954567509004e-05,5.399288797763829e-06
single_node,16,4,1,4,96,release_gather,8.016393262534734e-07,4.950049211301993e-06,2.357937308094786e-06,6.5401057901009675e-06,5.468520769737992e-06,8.016393262534734e-07,1.2707787037978082e-05,1.93985131102178e-05,5.425987689032911e-06
single_node,16,4,1,4,128,release_gather,8.04204657052022e-07,4.9870125605738e-06,2.362929182017579e-06,6.552125069471083e-06,5.489641533085935e-06,8.04204657052022e-07,1.2718521189047375e-05,1.945043906705434e-05,5.439012522347402e-06
single_node,16,4,1,4,192,release_gather,8.153570129661035e-07,5.023820129847112e-06,2.3955645913099242e-06,6.589601636785154e-06,5.51762070702702e-06,8.153570129661035e-07,1.2774612415338195e-05,1.9545885472725772e-05,5.487875541173449e-06
single_node,16,4,1,4,256,release_gather,8.229704791846248e-07,5.032336333480599e-06,2.463844946242556e-06,6.597907237240343e-06,5.532194510524577e-06,8.229704791846248e-07,1.2813868223491598e-05,1.9597210376182036e-05,5.5056379485456725e-06
single_node,16,4,1,4,384,release_gather,8.721250632521356e-07,5.07805478992642e-06,2.59672608790249e-06,6.583298368872691e-06,5.623799674500406e-06,8.721250632521356e-07,1.2867303866911555e-05,1.976048184837448e-05,5.610698522916304e-06
single_node,16,4,1,4,512,release_gather,9.453364390058043e-07,5.120488333364129e-06,2.853881509514371e-06,6.586382991081103e-06,5.666431077665577e-06,9.453364390058043e-07,1.2911843260395461e-05,1.984061255123566e-05,5.653085808203875e-06
single_node,16,4,1,4,768,release_gather,1.0267900618591812e-06,5.263794223067277e-06,3.0430005390445877e-06,6.602301240945691e-06,5.78923414259812e-06,1.0267900618591812e-06,1.3011177525518169e-05,2.0007562005824098e-05,5.776109024228564e-06
single_node,16,4,1,4,1024,release_gather,1.2745599167777252e-06,5.421475430394624e-06,3.1926394051364263e-06,6.6326194667535425e-06,5.905458047230325e-06,1.2745599167777252e-06,1.3143017767530487e-05,2.0215708450403077e-05,5.895801958213165e-06
single_node,16,4,1,4,1536,release_gather,1.4412222916287171e-06,6.3048206817700175e-06,3.4163406028766472e-06,7.061978678360343e-06,6.582156930094919e-06,1.4412222916287171e-06,1.3859563194410129e-05,2.081590489874217e-05,6.5788067801381986e-06
single_node,16,4,1,4,2048,release_gather,1.5413993898707865e-06,7.158276214312438e-06,3.575216376260076e-06,7.70899616871524e-06,7.252403547662285e-06,1.5413993898707865e-06,1.4235099447455155e-05,2.0957824091738666e-05,7.247428755930561e-06
single_node,16,4,1,4,3072,release_gather,2.177232926848785e-06,7.822520393188894e-06,4.370776111351891e-06,8.409890182206506e-06,7.944005357176695e-06,2.177232926848785e-06,1.449754755806842e-05,2.0989954310275183e-05,7.938858241266362e-06
single_node,16,4,1,4,4096,release_gather,2.3511359613890475e-06,8.118882436608364e-06,4.774742733932703e-06,8.718900456664163e-06,8.2463357496927e-06,2.3511359613890475e-06,1.448151659259649e-05,2.0989954310275183e-05,8.240992746505899e-06
single_node,16,4,1,4,6144,release_gather,2.635425403376072e-06,8.553418111066368e-06,5.517049578440058e-06,9.20525096950119e-06,8.717397873832086e-06,2.635425403376072e-06,1.4495178356663962e-05,2.0989954310275183e-05,8.706469827942928e-06
single_node,16,4,1,4,8192,release_gather,5.746508219585932e-06,1.771974434757635e-05,1.5803655949875242e-05,1.7797179401187166e-05,1.7760825233705676e-05,5.746508219585932e-06,1.7339842481837665e-05,2.3001842417482555e-05,1.777172960707165e-05
single_node,16,4,1,4,12288,release_gather,6.441046614851433e-06,1.9070369922295146e-05,1.8819808208645432e-05,1.9116608839394273e-05,1.911458205537423e-05,6.441046614851433e-06,1.896211327909308e-05,2.4550781232485665e-05,1.9104014880626027e-05
single_node,16,4,1,4,16384,release_gather,7.757528020028446e-06,2.2922202026310403e-05,2.2806774253524773e-05,2.2922202026310403e-05,2.293061612639399e-05,7.757528020028446e-06,2.2900404882873018e-05,2.798529870161652e-05,2.2912872484039863e-05
single_node,16,4,1,4,24576,release_gather,1.0395255989775931e-05,2.7045420457542714e-05,2.6939634439005008e-05,2.705772583645943e-05,2.706765797181718e-05,1.0395255989775931e-05,2.7093011835039794e-05,3.102018276494407e-05,2.70467130988243e-05
single_node,16,4,1,4,32768,release_gather,1.2923579948837392e-05,3.353383855751944e-05,3.365080594529207e-05,3.361530470700385e-05,3.361530470700385e-05,1.2923579948837392e-05,3.3651597776744534e-05,3.532008959337143e-05,3.3560027137563915e-05
single_node,16,4,1,4,49152,release_gather,2.093704811147588e-05,3.9456219498614e-05,3.99506395850572e-05,3.96326484549555e-05,3.96326484549555e-05,2.093704811147588e-05,3.9758266729585956e-05,4.035386098221343e-05,3.9822395497439925e-05
single_node,16,4,1,4,65536,release_gather,2.5858145066721597e-05,4.527078367780575e-05,4.588008281568658e-05,4.538358828116166e-05,4.555071886046222e-05,2.5858145066721597e-05,4.5527434536172804e-05,4.600333720614873e-05,4.56118316803874e-05
single_node,16,4,1,4,98304,release_gather,4.082502479312969e-05,6.504551694580155e-05,6.610056172558981e-05,6.474321761014324e-05,7.17636208470339e-05,4.082502479312969e-05,6.466999711092651e-05,6.507784604224905e-05,6.498051821834868e-05
single_node,16,4,1,4,131072,release_gather,4.929629658688574e-05,7.939463535530895e-05,8.028811919645792e-05,7.880043960440281e-05,8.868567964734368e-05,4.929629658688574e-05,7.871153222912773e-05,7.943409628888805e-05,7.931529783126416e-05
single_node,16,4,1,4,196608,release_gather,8.028398857616439e-05,0.00011097132286959055,0.00011363485581114496,0.00011106173653261281,0.00012819619804595379,8.028398857616439e-05,0.00011069325481474444,0.00011176351792587715,0.00011260831097036565
single_node,16,4,1,4,262144,release_gather,0.00011840032329305139,0.00013601807066955773,0.00013840108457824137,0.00013655483659479436,0.00018842187727901766,0.00011840032329305139,0.0001360785112445632,0.00013814640982617938,0.00014246749974726618
single_node,16,4,1,4,393216,release_gather,0.00014751072350910243,0.00017209172844076035,0.00017101187685035547,0.0001721440876035584,0.0002590843105875341,0.00014751072350910243,0.00017147837629494553,0.0001735876148210951,0.0001893763811859509
single_node,16,4,1,4,524288,release_gather,0.00019365693638136172,0.00022525787526622872,0.00021910774485934541,0.00022607946874225897,0.0003890912415281777,0.00019365693638136172,0.00022426747106213504,0.00022823223774647366,0.00025443203193839336
single_node,16,4,1,4,786432,release_gather,0.0003068662312538215,0.00033860637224639634,0.0003177698432640675,0.0003356575616666822,0.0007402657948829791,0.0003068662312538215,0.0003370089593886478,0.0003413818470892012,0.0004033920255077343
single_node,16,4,1,4,1048576,release_gather,0.00038786082577049193,0.0004305390643594789,0.0003966768004387524,0.0004250021325813689,0.0010187134748076824,0.00038786082577049193,0.00042578927395480246,0.0004279049792469628,0.0004823376910836858
single_node,16,4,1,4,1572864,circ_graph,0.0005472045619974953,0.0006074842089634294,0.0005472045619974953,0.0005880396763640136,0.0014984961162935056,0.0005490445769139761,0.000595578246687646,0.0005902350025673765,0.0006152460129323202
single_node,16,4,1,4,2097152,circ_graph,0.0007026296428140886,0.0007700055589324443,0.0007026296428140886,0.0007509927340723613,0.001764179226103568,0.000713506967450582,0.0007590478473822851,0.0007497772887827282,0.0008010777051130438
single_node,16,4,1,4,3145728,circ_graph,0.0010338078040189162,0.001102363027129111,0.0010338078040189162,0.0010928859684852525,0.003410546784921418,0.0010703624817504857,0.0010930805778306349,0.001085477036637316,0.0014003294503310455
single_node,16,4,1,4,4194304,circ_graph,0.0012267908515290597,0.001345309190027015,0.0012267908515290597,0.0013376197326711067,0.005014456996089924,0.001319823729466445,0.0013545721652197238,0.0013341561426686718,0.0017247004502026853
single_node,16,4,1,4,6291456,circ_graph,0.0018597472144369163,0.0019198604666244958,0.0018597472144369163,0.0019151306797969923,0.007873791219121816,0.0018973678333704166,0.001947301346082005,0.0019026738672839555,0.0023058025879435715
single_node,16,4,1,4,8388608,circ_graph,0.0024000763849433586,0.0024387868677693872,0.0024000763849433586,0.0024387868677693872,0.010978569303031047,0.0024205994205078914,0.0024520378057582815,0.002422683808719669,0.002837068426179321
single_node,16,4,1,4,12582912,scatter_ring_allgather,0.004059975638312837,0.004150825414560767,0.004127757210032471,0.004087532102668694,0.017390632565415003,0.004151049841461054,0.004152108784999765,0.004059975638312837,0.004713883529276365
single_node,16,4,1,4,16777216,scatter_ring_allgather,0.005351345160985267,0.005481354838793579,0.0054622123642392145,0.005411343364987211,0.020525978717322372,0.005504190326146544,0.005501896196434391,0.005351345160985267,0.00626662464529977
single_node,16,4,1,4,25165824,circ_graph,0.008080300472655049,0.008289485104781898,0.008080300472655049,0.008324481517203325,0.023972903393701627,0.008380282783227845,0.008328424751142429,0.008208944326553076,0.009125290769768408
single_node,16,4,1,4,33554432,circ_graph,0.010598628848589402,0.011006644671013211,0.010598628848589402,0.011059503293595447,0.025230095226060394,0.011079942157930395,0.010998428691260331,0.010876066862334747,0.011731534469273532
single_node,16,8,1,8,2,release_gather,7.817423067000658e-07,5.658452387747659e-06,2.437578920491879e-06,7.186261864381278e-06,5.818596436092884e-06,7.817423067000658e-07,1.1303307201777922e-05,2.110506347864023e-05,5.836906338840359e-06
single_node,16,8,1,8,3,release_gather,7.817423067000658e-07,5.658452387747659e-06,2.437578920491879e-06,7.186261864381278e-06,5.818596436092884e-06,7.817423067000658e-07,1.1303307201777922e-05,2.110506347864023e-05,5.836906338840359e-06
single_node,16,8,1,8,4,release_gather,7.814788293376539e-07,5.658452387747659e-06,2.4381069705755895e-06,7.186261864381278e-06,5.818511207925813e-06,7.814788293376539e-07,1.155562405837415e-05,2.110506347864023e-05,5.836820842478119e-06
single_node,16,8,1,8,6,release_gather,7.829165921950626e-07,5.659100889128387e-06,2.4442485722638277e-06,7.186261864381278e-06,5.818887473023609e-06,7.829165921950626e-07,1.2146745312938192e-05,2.121634497747049e-05,5.836580194414128e-06
single_node,16,8,1,8,8,release_gather,7.838124705172689e-07,5.655755187536163e-06,2.446140737028716e-06,7.185807020499847e-06,5.8184534471198286e-06,7.838124705172689e-07,1.259989217586669e-05,2.145050604645827e-05,5.83620455341388e-06
