phase,phase_iteration,global_iteration,algorithm,cvar_value,root,nproc,message_size_bytes,time_sum_sec,avg_latency_sec,min_time_sec,max_time_sec,correct
actual,8,108,binomial,1,0,256,2,0.020117204,0.000078583,0.000004509,0.000131076,1
actual,9,109,binomial,1,0,256,2,0.025472679,0.000099503,0.000004478,0.000178395,1
actual,10,110,binomial,1,0,256,2,0.015584173,0.000060876,0.000004478,0.000111269,1
actual,11,111,binomial,1,0,256,2,0.024696776,0.000096472,0.000002915,0.000162976,1
actual,12,112,binomial,1,0,256,2,0.016022953,0.000062590,0.000004559,0.000119394,1
actual,13,113,binomial,1,0,256,2,0.024093908,0.000094117,0.000004599,0.000160441,1
actual,14,114,binomial,1,0,256,2,0.020388772,0.000079644,0.000007965,0.000131667,1
actual,15,115,binomial,1,0,256,2,0.022011767,0.000085983,0.000002785,0.000141866,1
actual,16,116,binomial,1,0,256,2,0.018145626,0.000070881,0.000004679,0.000122519,1
actual,17,117,binomial,1,0,256,2,0.025544145,0.000099782,0.000002765,0.000168947,1
actual,18,118,binomial,1,0,256,2,0.017601764,0.000068757,0.000004709,0.000113734,1
actual,19,119,binomial,1,0,256,2,0.025391827,0.000099187,0.000004679,0.000161893,1
actual,20,120,binomial,1,0,256,2,0.015904449,0.000062127,0.000004429,0.000113193,1
actual,21,121,binomial,1,0,256,2,0.024929188,0.000097380,0.000004308,0.000158437,1
actual,22,122,binomial,1,0,256,2,0.016887303,0.000065966,0.000004579,0.000112651,1
actual,23,123,binomial,1,0,256,2,0.022855072,0.000089278,0.000001763,0.000147647,1
actual,24,124,binomial,1,0,256,2,0.020580098,0.000080391,0.000004559,0.000131827,1
actual,25,125,binomial,1,0,256,2,0.025137040,0.000098192,0.000002605,0.000169758,1
actual,26,126,binomial,1,0,256,2,0.019966466,0.000077994,0.000004509,0.000133921,1
actual,27,127,binomial,1,0,256,2,0.024389389,0.000095271,0.000002595,0.000156885,1
actual,28,128,binomial,1,0,256,2,0.019797243,0.000077333,0.000004509,0.000128562,1
actual,29,129,binomial,1,0,256,2,0.021911180,0.000085591,0.000002816,0.000143299,1
actual,30,130,binomial,1,0,256,2,0.016473802,0.000064351,0.000004648,0.000112822,1
actual,31,131,binomial,1,0,256,2,0.025161140,0.000098286,0.000003056,0.000170861,1
actual,32,132,binomial,1,0,256,2,0.020079833,0.000078437,0.000004489,0.000131938,1
actual,33,133,binomial,1,0,256,2,0.026057443,0.000101787,0.000003086,0.000170229,1
actual,34,134,binomial,1,0,256,2,0.019949099,0.000077926,0.000004479,0.000136797,1
actual,35,135,binomial,1,0,256,2,0.025828952,0.000100894,0.000002766,0.000157425,1
actual,36,136,binomial,1,0,256,2,0.019453340,0.000075990,0.000004538,0.000135805,1
actual,37,137,binomial,1,0,256,2,0.024944826,0.000097441,0.000001643,0.000147186,1
actual,38,138,binomial,1,0,256,2,0.018468197,0.000072141,0.000004438,0.000121528,1
actual,39,139,binomial,1,0,256,2,0.022019306,0.000086013,0.000002785,0.000144942,1
actual,40,140,binomial,1,0,256,2,0.017612409,0.000068798,0.000004619,0.000113734,1
actual,41,141,binomial,1,0,256,2,0.021983862,0.000085874,0.000004889,0.000136757,1
actual,42,142,binomial,1,0,256,2,0.019203767,0.000075015,0.000006603,0.000141225,1
actual,43,143,binomial,1,0,256,2,0.024332097,0.000095047,0.000003015,0.000156734,1
actual,44,144,binomial,1,0,256,2,0.016651010,0.000065043,0.000004398,0.000113583,1
actual,45,145,binomial,1,0,256,2,0.025116839,0.000098113,0.000004639,0.000155602,1
actual,46,146,binomial,1,0,256,2,0.021299806,0.000083202,0.000004448,0.000144160,1
actual,47,147,binomial,1,0,256,2,0.021929794,0.000085663,0.000001693,0.000153028,1
actual,48,148,binomial,1,0,256,2,0.019109515,0.000074647,0.000004348,0.000130334,1
actual,49,149,binomial,1,0,256,2,0.021342549,0.000083369,0.000002895,0.000140694,1
actual,50,150,binomial,1,0,256,2,0.023354075,0.000091227,0.000006182,0.000147276,1
actual,51,151,binomial,1,0,256,2,0.025777114,0.000100692,0.000002815,0.000159840,1
actual,52,152,binomial,1,0,256,2,0.021858442,0.000085385,0.000004438,0.000142267,1
actual,53,153,binomial,1,0,256,2,0.024653761,0.000096304,0.000002625,0.000178365,1
actual,54,154,binomial,1,0,256,2,0.019122170,0.000074696,0.000004468,0.000128320,1
actual,55,155,binomial,1,0,256,2,0.023504425,0.000091814,0.000002976,0.000153288,1
actual,56,156,binomial,1,0,256,2,0.019047229,0.000074403,0.000004439,0.000129053,1
actual,57,157,binomial,1,0,256,2,0.022732763,0.000088800,0.000003046,0.000136537,1
actual,58,158,binomial,1,0,256,2,0.020535179,0.000080216,0.000004428,0.000137628,1
actual,59,159,binomial,1,0,256,2,0.025940428,0.000101330,0.000002875,0.000175600,1
actual,60,160,binomial,1,0,256,2,0.016916310,0.000066079,0.000004639,0.000121197,1
actual,61,161,binomial,1,0,256,2,0.024388859,0.000095269,0.000006973,0.000152777,1
actual,62,162,binomial,1,0,256,2,0.018472856,0.000072160,0.000004629,0.000134903,1
actual,63,163,binomial,1,0,256,2,0.026759883,0.000104531,0.000004619,0.000168566,1
actual,64,164,binomial,1,0,256,2,0.019821075,0.000077426,0.000004598,0.000141936,1
actual,65,165,binomial,1,0,256,2,0.022715599,0.000088733,0.000003036,0.000152776,1
actual,66,166,binomial,1,0,256,2,0.017378206,0.000067884,0.000002735,0.000123852,1
actual,67,167,binomial,1,0,256,2,0.021805009,0.000085176,0.000002916,0.000142337,1
actual,68,168,binomial,1,0,256,2,0.018828969,0.000073551,0.000004458,0.000127920,1
actual,69,169,binomial,1,0,256,2,0.028101596,0.000109772,0.000002905,0.000179978,1
actual,70,170,binomial,1,0,256,2,0.020578157,0.000080383,0.000004529,0.000135574,1
actual,71,171,binomial,1,0,256,2,0.023246707,0.000090807,0.000004438,0.000156644,1
actual,72,172,binomial,1,0,256,2,0.020641719,0.000080632,0.000004598,0.000137998,1
actual,73,173,binomial,1,0,256,2,0.025884681,0.000101112,0.000004779,0.000150603,1
actual,74,174,binomial,1,0,256,2,0.019746604,0.000077135,0.000004438,0.000132959,1
actual,75,175,binomial,1,0,256,2,0.021191552,0.000082780,0.000001613,0.000138209,1
actual,76,176,binomial,1,0,256,2,0.020372957,0.000079582,0.000004559,0.000133981,1
actual,77,177,binomial,1,0,256,2,0.026165702,0.000102210,0.000002865,0.000167053,1
actual,78,178,binomial,1,0,256,2,0.018010247,0.000070353,0.000004639,0.000125035,1
actual,79,179,binomial,1,0,256,2,0.023276476,0.000090924,0.000002906,0.000150533,1
actual,80,180,binomial,1,0,256,2,0.018266571,0.000071354,0.000004448,0.000122420,1
actual,81,181,binomial,1,0,256,2,0.024596212,0.000096079,0.000002805,0.000159689,1
actual,82,182,binomial,1,0,256,2,0.019359299,0.000075622,0.000004478,0.000147136,1
actual,83,183,binomial,1,0,256,2,0.024193392,0.000094505,0.000004588,0.000150543,1
