grid_mode,ppn,nodes,nproc,message_size_bytes,optimal_algorithm,optimal_predicted_time_sec,predicted_time_sec__binomial,predicted_time_sec__circ_graph,predicted_time_sec__nb,predicted_time_sec__pipelined_tree,predicted_time_sec__release_gather,predicted_time_sec__scatter_recursive_doubling_allgather,predicted_time_sec__scatter_ring_allgather,predicted_time_sec__tree
nodes,16,2,32,33554432,binomial,0.023817330144787832,0.023817330144787832,0.026635866167233332,0.026589884561055738,0.09649337227228037,0.026671545785829077,0.026975843553630027,0.026671545785829077,0.028393317231420346
nodes,16,4,64,2,release_gather,1.745054159999585e-05,4.4103657033132654e-05,4.4135631883862146e-05,4.408536926125566e-05,4.4146973283759346e-05,1.745054159999585e-05,5.3486089013131124e-05,0.0005642840581436447,4.415086510392443e-05
nodes,16,4,64,16,release_gather,1.7448244059054677e-05,4.40568894678168e-05,4.412310379311403e-05,4.4072973473143615e-05,4.413332662857525e-05,1.7448244059054677e-05,5.510393716454604e-05,0.0005647141207372973,4.41369502186552e-05
nodes,16,4,64,64,release_gather,1.779727896158306e-05,4.4881205950390666e-05,4.495095153440204e-05,4.490105309361464e-05,4.495907327138632e-05,1.779727896158306e-05,7.01766231840325e-05,0.0005772397080620996,4.4962764659830274e-05
nodes,16,4,64,512,release_gather,2.2044279825157794e-05,5.618959446270233e-05,5.699955654638488e-05,3.8885287258111935e-05,5.5591860295259276e-05,2.2044279825157794e-05,0.00010181561330745938,0.0006177004181410453,5.556054685420829e-05
nodes,16,4,64,4096,release_gather,3.180176748638156e-05,6.859641722985984e-05,7.208051139679229e-05,3.55305174491299e-05,6.940360214540824e-05,3.180176748638156e-05,0.00013417367159488663,0.00066487031794171,6.907940907988307e-05
nodes,16,4,64,16384,binomial,0.00010563583220998262,0.00010563583220998262,0.00010839177306543239,0.00012880178241619442,0.00012682099383677992,0.00010714522971860334,0.00012435532616483894,0.0009573290071580225,0.0001138319328320813
nodes,16,4,64,131072,binomial,0.00025530916374464214,0.00025530916374464214,0.0003104665149668798,0.0003155826323049644,0.0007528868607834316,0.0002954819013046582,0.00031289254011728114,0.0017598412632701505,0.00031672626509057707
nodes,16,4,64,1048576,binomial,0.0011626983224522853,0.0011626983224522853,0.001659425073392032,0.002799226254434122,0.004283480738663462,0.00184323349343626,0.0016519056034956033,0.002682632304842702,0.001978172540587882
nodes,16,4,64,4194304,binomial,0.003996299000794249,0.003996299000794249,0.006023648540690093,0.0063706605964355375,0.01782150478994946,0.006182181368976162,0.00586953217457338,0.006360721547075446,0.00764861774807644
nodes,16,4,64,33554432,scatter_ring_allgather,0.03272141988194523,0.0333903342230195,0.03939378598613772,0.035292545298219194,0.1938707530521239,0.03618812118529199,0.04156356927979547,0.03272141988194523,0.053502067149465767
